system:index,aClass,dClass,eClass,finalCla_1,finalClass,include,lat,lon,pointID,random,sysID,v1_2_Class,.geo
000000000000000000d0,0,0,0,0,1,1,40.47747423,-72.46876605,,0.491832306,1_1_898,0,"{""type"":""Point"",""coordinates"":[-72.4687663102739,40.4774764353518]}"
000000000000000000d1,0,0,0,0,1,1,-24.01707026,152.2088691,,0.492163424,1_1_812,0,"{""type"":""Point"",""coordinates"":[152.20886831267353,-24.017070542842724]}"
000000000000000000d2,0,0,0,0,1,1,-16.57902066,138.1098099,,0.492280921,1_1_763,0,"{""type"":""Point"",""coordinates"":[138.1098105967241,-16.579022439631792]}"
000000000000000000d5,0,0,0,0,1,1,-45.08256443,-65.29571765,,0.495341745,1_1_1117,0,"{""type"":""Point"",""coordinates"":[-65.2957181235682,-45.082563998186444]}"
000000000000000000d6,0,0,0,0,1,1,1.971190734,98.48512297,,0.496964894,1_1_375,0,"{""type"":""Point"",""coordinates"":[98.48512386054067,1.9711902116862854]}"
000000000000000000d8,0,0,0,0,1,1,22.34498034,72.53728616,,0.5,1_2_151,0,"{""type"":""Point"",""coordinates"":[72.53728485706114,22.344978993417378]}"
000000000000000000d9,0,0,0,0,1,1,47.43941854,142.6732515,,0.501331768,1_1_720,0,"{""type"":""Point"",""coordinates"":[142.67325015571956,47.43941740088422]}"
000000000000000000da,0,0,0,0,1,1,24.72551673,-82.02234903,,0.501947543,1_1_860,0,"{""type"":""Point"",""coordinates"":[-82.0223501853722,24.725514681809994]}"
000000000000000000db,0,0,0,0,1,1,-34.59473356,134.6333298,,0.505081813,1_1_259,0,"{""type"":""Point"",""coordinates"":[134.63333042871872,-34.59473156587541]}"
000000000000000000dc,0,0,0,0,1,1,8.915167834,-60.16633741,,0.505330432,1_1_943,0,"{""type"":""Point"",""coordinates"":[-60.1663383770715,8.915169918175414]}"
000000000000000000dd,0,0,0,0,1,1,30.15583259,19.09201868,,0.505920885,1_1_117,0,"{""type"":""Point"",""coordinates"":[19.09202018391807,30.1558346993027]}"
000000000000000000de,0,0,0,0,1,1,52.04328434,3.955407143,,0.507558718,1_1_586,0,"{""type"":""Point"",""coordinates"":[3.9554054575496846,52.0432831700302]}"
000000000000000000e0,0,0,0,0,1,1,56.03180328,-3.491627411,,0.51,1_2_155,0,"{""type"":""Point"",""coordinates"":[-3.4916277342839392,56.031801912002784]}"
000000000000000000e2,0,0,0,0,1,1,1.423217516,-50.446567,,0.51104454,1_1_916,0,"{""type"":""Point"",""coordinates"":[-50.446568264812306,1.4232157423293743]}"
000000000000000000e3,0,0,0,0,1,1,59.39150331,22.29900422,,0.51173253,1_1_561,0,"{""type"":""Point"",""coordinates"":[22.299005661556347,59.39150268251947]}"
000000000000000000e4,0,0,0,0,1,1,36.3362417,129.4186096,,0.512198265,1_1_424,0,"{""type"":""Point"",""coordinates"":[129.4186079471601,36.33624240050081]}"
000000000000000000e5,0,0,0,0,1,1,33.47510754,120.7229177,,0.516648597,1_1_435,0,"{""type"":""Point"",""coordinates"":[120.72291944193638,33.475109259668855]}"
000000000000000000e7,0,0,0,0,1,1,4.989529171,-6.50547517,,0.519093568,1_1_72,0,"{""type"":""Point"",""coordinates"":[-6.505476167994314,4.98952896015748]}"
000000000000000000e8,0,0,0,0,1,1,52.40710113,5.222030787,,0.52,1_2_123,0,"{""type"":""Point"",""coordinates"":[5.222030948185201,52.407101224980856]}"
000000000000000000e9,0,0,0,0,1,1,48.6072284,-4.776218259,,0.52,1_2_110,0,"{""type"":""Point"",""coordinates"":[-4.77621894306379,48.60722921217536]}"
000000000000000000eb,0,0,0,0,1,1,43.70242608,145.646676,,0.521205344,1_1_722,0,"{""type"":""Point"",""coordinates"":[145.64667683838047,43.70242763113441]}"
000000000000000000ec,0,0,0,0,1,1,8.933133242,-60.04057417,,0.521506244,1_1_945,0,"{""type"":""Point"",""coordinates"":[-60.0405738909601,8.933131177218693]}"
000000000000000000ed,0,0,0,0,1,1,6.238187407,3.694894814,,0.521930341,1_1_79,0,"{""type"":""Point"",""coordinates"":[3.69489585580527,6.238188732648661]}"
000000000000000000ee,0,0,0,0,1,1,-29.5462008,31.4348706,,0.525712717,1_1_211,0,"{""type"":""Point"",""coordinates"":[31.434869868169958,-29.546199780578743]}"
000000000000000000f0,0,0,0,0,1,1,37.35582954,119.7033298,,0.527321382,1_1_427,0,"{""type"":""Point"",""coordinates"":[119.70332814966176,37.35582923367437]}"
000000000000000000f1,0,0,0,0,1,1,-18.23641235,43.6295005,,0.527978278,1_1_224,0,"{""type"":""Point"",""coordinates"":[43.6294990334053,-18.23641233288393]}"
000000000000000000f4,0,0,0,0,1,1,32.31178836,15.22028073,,0.531754607,1_1_120,0,"{""type"":""Point"",""coordinates"":[15.220280839434187,32.31178776313852]}"
000000000000000000f6,0,0,0,0,1,1,54.28008938,-4.605538356,,0.534336847,1_1_608,0,"{""type"":""Point"",""coordinates"":[-4.605537932041041,54.2800886541671]}"
000000000000000000f7,0,0,0,0,1,1,19.7668155,-87.76707433,,0.53654102,1_1_998,0,"{""type"":""Point"",""coordinates"":[-87.76707249994128,19.766815946336035]}"
